FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
2418964|Hogback Chapter|Civil|NM|35|San Juan|045|364734N|1083540W|36.792745|-108.594381|||||1555|5102|Chimney Rock|04/11/2008|02/09/2011
2419015|Mexican Water Chapter|Civil|UT|49|San Juan|037|370047N|1093627W|37.013186|-109.607608|||||1560|5118|Boundary Butte|04/11/2008|02/09/2011
2419033|Nenahnezad/San Juan Chapter|Civil|NM|35|San Juan|045|363604N|1082832W|36.600987|-108.475467|||||1686|5531|Kirtland SW|04/11/2008|02/09/2011
2419034|Newcomb Chapter|Civil|NM|35|San Juan|045|361952N|1083828W|36.331154|-108.641086|||||1681|5515|Newcomb|04/11/2008|02/09/2011
2419071|Red Mesa Chapter|Civil|UT|49|San Juan|037|370852N|1092256W|37.147654|-109.382291|||||1465|4806|Hogan Mesa|04/11/2008|02/09/2011
2419073|Red Valley Chapter|Civil|NM|35|San Juan|045|363836N|1090245W|36.6432|-109.045826|||||1751|5745|Horse Mesa|04/11/2008|02/09/2011
2419077|Rock Point Chapter|Civil|AZ|04|Apache|001|363926N|1093700W|36.657251|-109.616711|||||1567|5141|Dancing Rocks|04/11/2008|02/09/2011
???????|San Juan Chapter|Civil|NM|35|San Juan|045|3644539N|108243359W|||||||||||
2419130|Sanostee Chapter|Civil|NM|35|San Juan|045|362652N|1085043W|36.447832|-108.845184|||||1847|6060|Sanostee East|04/11/2008|02/09/2011
2419139|Sheep Springs Chapter|Civil|NM|35|San Juan|045|360959N|1084523W|36.166332|-108.756454|||||1883|6178|Two Grey Hills|04/11/2008|02/09/2011
2419141|Shiprock Chapter|Civil|NM|35|San Juan|045|364242N|1084538W|36.711598|-108.760467|||||1610|5282|Ship Rock|04/11/2008|02/09/2011
2419482|Sweetwater Chapter|Civil|AZ|04|Apache|001|364844N|1092146W|36.812171|-109.362858|||||1726|5663|Toh Chin Lini Mesa|04/11/2008|02/09/2011
2419489|Teec Nos Pos Chapter|Civil|AZ|04|Apache|001|365738N|1090938W|36.960463|-109.160512|||||1542|5059|Cow Butte|04/11/2008|02/09/2011
2419506|Two Grey Hills Chapter|Civil|NM|35|San Juan|045|361558N|1085128W|36.266098|-108.857773|||||1897|6224|Tsin-nas-kid|04/11/2008|02/09/2011

